"87.205.141.29","37.187.81.8","0","24"
"37.187.81.8","87.205.141.29","0","24"
"87.205.141.29","37.187.81.8","0","16"
"87.205.141.29","37.187.81.8","0","24"
"37.187.81.8","87.205.141.29","0","24"
"87.205.141.29","37.187.81.8","0","16"
"87.205.141.29","37.187.81.8","0","24"
"37.187.81.8","87.205.141.29","0","24"
"87.205.141.29","37.187.81.8","0","16"
"87.205.141.29","37.187.81.8","0","24"
"37.187.81.8","87.205.141.29","0","24"
"87.205.141.29","37.187.81.8","0","16"
"87.205.141.29","37.187.81.8","0","24"
"37.187.81.8","87.205.141.29","0","24"
"87.205.141.29","37.187.81.8","0","16"
"87.205.141.29","37.187.81.8","0","24"
"37.187.81.8","87.205.141.29","0","24"
"87.205.141.29","37.187.81.8","0","16"
"87.205.141.29","37.187.81.8","0","24"
"37.187.81.8","87.205.141.29","0","24"
"87.205.141.29","37.187.81.8","0","16"
"87.205.141.29","37.187.81.8","0","24"
"37.187.81.8","87.205.141.29","0","24"
"37.187.81.8","87.205.141.29","0","24"
"87.205.141.29","37.187.81.8","0","16"
"87.205.141.29","37.187.81.8","0","16"
"87.205.141.29","37.187.81.8","0","24"
"37.187.81.8","87.205.141.29","0","24"
"87.205.141.29","37.187.81.8","0","16"
"87.205.141.29","37.187.81.8","0","24"
"37.187.81.8","87.205.141.29","0","24"
"87.205.141.29","37.187.81.8","0","16"
"87.205.141.29","37.187.81.8","0","24"
"37.187.81.8","87.205.141.29","0","24"
"87.205.141.29","37.187.81.8","0","16"
"87.205.141.29","37.187.81.8","0","24"
"37.187.81.8","87.205.141.29","0","24"
"87.205.141.29","37.187.81.8","0","16"
"87.205.141.29","37.187.81.8","0","24"
"37.187.81.8","87.205.141.29","0","24"
"37.187.81.8","87.205.141.29","0","24"
"87.205.141.29","37.187.81.8","0","16"
"87.205.141.29","37.187.81.8","0","16"
"87.205.141.29","37.187.81.8","0","24"
"87.205.141.29","37.187.81.8","0","24"
"37.187.81.8","87.205.141.29","0","16"
"87.205.141.29","37.187.81.8","0","17"
"37.187.81.8","87.205.141.29","0","17"
"87.205.141.29","37.187.81.8","0","16"
"198.13.112.236","37.187.81.8","1","2"
"37.187.81.8","198.13.112.236","1","20"
"5.135.250.51","37.187.81.8","2","2"
"37.187.81.8","5.135.250.51","2","20"
"5.135.250.51","37.187.81.8","3","2"
"37.187.81.8","5.135.250.51","3","18"
"5.135.250.51","37.187.81.8","3","16"
"5.135.250.51","37.187.81.8","3","20"
"5.135.250.51","37.187.81.8","4","2"
"37.187.81.8","5.135.250.51","4","18"
"5.135.250.51","37.187.81.8","4","16"
"5.135.250.51","37.187.81.8","4","20"
"5.135.250.51","37.187.81.8","5","2"
"37.187.81.8","5.135.250.51","5","18"
"5.135.250.51","37.187.81.8","5","16"
"5.135.250.51","37.187.81.8","5","20"
"5.135.250.51","37.187.81.8","6","2"
"37.187.81.8","5.135.250.51","6","18"
"5.135.250.51","37.187.81.8","6","16"
"5.135.250.51","37.187.81.8","6","20"
"5.135.250.51","37.187.81.8","7","2"
"37.187.81.8","5.135.250.51","7","20"
"193.109.247.128","37.187.81.8","8","2"
"37.187.81.8","193.109.247.128","8","20"
"37.187.65.250","37.187.81.8","9","2"
"37.187.81.8","37.187.65.250","9","18"
"37.187.65.250","37.187.81.8","9","16"
"37.187.65.250","37.187.81.8","9","20"
"37.187.65.250","37.187.81.8","10","2"
"37.187.81.8","37.187.65.250","10","18"
"37.187.65.250","37.187.81.8","10","16"
"37.187.65.250","37.187.81.8","10","20"
"37.187.65.250","37.187.81.8","11","2"
"37.187.81.8","37.187.65.250","11","18"
"37.187.65.250","37.187.81.8","11","16"
"37.187.65.250","37.187.81.8","11","20"
"37.187.65.250","37.187.81.8","12","2"
"37.187.81.8","37.187.65.250","12","18"
"37.187.65.250","37.187.81.8","12","16"
"37.187.65.250","37.187.81.8","12","20"
"37.187.65.250","37.187.81.8","13","2"
"37.187.81.8","37.187.65.250","13","20"
"37.187.65.250","37.187.81.8","14","2"
"37.187.81.8","37.187.65.250","14","20"
"94.141.173.133","37.187.81.8","15","2"
"37.187.81.8","94.141.173.133","15","18"
"37.187.81.8","94.141.173.133","15","18"
